domain
Pants - Skirts
Bill Clinton - Hillary Clinton
Meat - Vegetables
Reason - Emotions
Astrology - Science
Dramas - Comedies
Tall People - Short People
New York - California
Strong - Sensitive
Television - Books
Coffee - Tea
Helpers - Leaders
African Americans - European Americans
Speed - Accuracy
Conservatives - Liberals
National Defense - Education
Gay People - Straight People
Corporations - Nonprofits
Protein - Carbohydrates
Microsoft - Apple
Fat People - Thin People
Artists - Musicians
Burger King - McDonald's
