vocab_bin,sd,correct,n,mean_vocab,d
"(23.8,27.5]",0.14433756729740643,0.375,4,25,-0.8660254037844387
"(27.5,31.2]",0.22360679774997896,0.4,5,30,-0.44721359549995787
"(31.2,35]",0.28867513459481287,0.5,4,35,0
"(38.8,42.5]",0.10540925533894596,0.7,10,40,1.8973665961010275
"(42.5,46.2]",0.17251638983558856,0.7142857142857143,7,45,1.2421180068162376
"(46.2,50]",0.30151134457776363,0.75,12,50,0.82915619758885
"(53.8,57.5]",0.2250384244748407,0.7282608695652174,23,55.00000000000001,1.0143195327548917
"(57.5,61.2]",0.15720255620746415,0.8666666666666667,30,60,2.332447229310747
"(61.2,65]",0.22289655731812144,0.8409090909090909,44,65,1.5294497815977488
"(68.8,72.5]",0.07058246282165997,0.9791666666666666,24,70,6.788749605937843
"(72.5,76.2]",0.15069907169657756,0.8918918918918919,37,75.03217503217503,2.6004930719211052
"(76.2,80]",0.14784994390032774,0.9310344827586207,29,80,2.9153510064853343
"(83.8,87.5]",0.14582307024641872,0.9333333333333333,30,85,2.9716377017783686
