"SubjectID","age","vocab_acc","ME_acc","vocab_count","ME_count"
"01031601","3.9199999999999999","70.0","100.0","20","19"
"01031702","2.5299999999999998","55.000000000000007","84.210526315789465","20","19"
"01031703","3.4700000000000002","75.0","78.94736842105263","20","19"
"01051701","3.5299999999999998","65.0","73.68421052631578","20","19"
"01051702","2.6899999999999999","60.0","52.631578947368418","20","19"
"01051704","3.5299999999999998","60.0","89.473684210526315","20","19"
"01051705","3.1699999999999999","65.0","57.894736842105267","20","19"
"01061704","3.7599999999999998","65.0","100.0","20","19"
"01061705","3.27","85.0","94.73684210526315","20","19"
"01061707","2.5499999999999998","80.0","78.94736842105263","20","19"
"01121601","3.7400000000000002","70.0","84.210526315789465","20","19"
"01121702","3.8700000000000001","85.0","84.210526315789465","20","19"
"01121703","3.8399999999999999","75.0","73.68421052631578","20","19"
"01121704","3.1299999999999999","60.0","73.68421052631578","20","19"
"01121706","2.5899999999999999","80.0","94.73684210526315","20","19"
"01121708","2.7999999999999998","40.0","94.73684210526315","20","19"
"01131701","2.7799999999999998","55.000000000000007","57.894736842105267","20","19"
"01131702","3.73","80.0","100.0","20","19"
"01151701","3.52","65.0","89.473684210526315","20","19"
"01171702","2.3500000000000001","65.0","57.894736842105267","20","19"
"01191703","3.8700000000000001","85.0","94.73684210526315","20","19"
"01191705","2.5","65.0","68.421052631578945","20","19"
"01271702","3.9900000000000002","70.0","100.0","20","19"
"01271703","2.25","25.0","42.105263157894733","20","19"
"01271704","3.04","70.0","100.0","20","19"
"01311702","2.96","75.0","100.0","20","19"
"01311703","3.4700000000000002","60.0","100.0","20","19"
"01311704","3.7000000000000002","65.0","84.210526315789465","20","19"
"02071701","3.8999999999999999","75.0","89.473684210526315","20","19"
"02071702","3.1400000000000001","40.0","63.157894736842103","20","19"
"02071704","2.9900000000000002","40.0","63.157894736842103","20","19"
"02091702","3.4199999999999999","35.0","52.631578947368418","20","19"
"02091703","3.8500000000000001","80.0","100.0","20","19"
"02101702","3.0899999999999999","75.0","89.473684210526315","20","19"
"02101703","3.02","75.0","100.0","20","19"
"02101704","3.3399999999999999","80.0","89.473684210526315","20","19"
"02101705","2.3300000000000001","55.000000000000007","73.68421052631578","20","19"
"02201701","3.27","50.0","84.210526315789465","20","19"
"02201702","3.0600000000000001","60.0","94.73684210526315","20","19"
"02201703","2.5499999999999998","65.0","84.210526315789465","20","19"
"02201704","3.8100000000000001","80.0","100.0","20","19"
"02201705","2.6099999999999999","75.0","89.473684210526315","20","19"
"02201706","3.2799999999999998","85.0","94.73684210526315","20","19"
"02201707","2.7000000000000002","40.0","78.94736842105263","20","19"
"02201710","4.7699999999999996","80.0","89.473684210526315","20","19"
"02201711","3.6200000000000001","80.0","84.210526315789465","20","19"
"02201714","3.1499999999999999","90.0","100.0","20","19"
"02281701","2.77","75.0","84.210526315789465","20","19"
"02281702","3.2599999999999998","85.0","89.473684210526315","20","19"
"03021703","3.52","35.0","73.68421052631578","20","19"
"03021704","2.4100000000000001","65.0","73.68421052631578","20","19"
"03021705","2.5299999999999998","70.0","94.73684210526315","20","19"
"03021706","2.6899999999999999","60.0","94.73684210526315","20","19"
"03021707","3.4700000000000002","65.0","94.73684210526315","20","19"
"03031701","3.04","55.000000000000007","52.631578947368418","20","19"
"03211702","3.5699999999999998","55.000000000000007","78.94736842105263","20","19"
"03211703","3.0800000000000001","85.0","78.94736842105263","20","19"
