SubjectID,Age
1191601,2.07
1191602,4.73
1191603,2.45
1191604,3.05
1191605,3.73
1191606,3.70
11161601,3.00
11161602,3.69
11161603,3.34
11161604,4.94
11161605,2.28
1261601,3.71
1261602,2.38
1261603,3.64
1261604,2.50
1261605,3.40
1261606,3.95
1261607,3.98
1281601,4.94
1281602,3.19
1281603,3.61
1281604,2.49
12131601,3.31
