sub_id,age_months,gender,english,exclude2,prop_correct_vocab,end_time,resp_start_time,stage_type,start_time,event,version,correct,help,object1,category,Object 1,time_start,type,trial_type
1191601,24.839999999999996,female,100,NA,0.42857142857142855,0000-11-09T14:47:21Z,0000-11-09T14:47:21Z,Pair (Repeated),0000-11-09T14:47:19Z,Session,16,0,None,cam,NA,NA,NA,NA,C-NN
1191602,56.760000000000005,male,95,NA,0.8095238095238095,0000-11-09T15:10:31Z,0000-11-09T15:10:31Z,Pair (New),0000-11-09T15:10:30Z,Session,16,1,None,spoon,NA,NA,NA,NA,FF
1191602,56.760000000000005,male,95,NA,0.8095238095238095,0000-11-09T15:10:58Z,0000-11-09T15:10:57Z,Pair (New),0000-11-09T15:10:55Z,Session,16,1,None,pretzel,NA,NA,NA,NA,FF
1191602,56.760000000000005,male,95,NA,0.8095238095238095,0000-11-09T15:11:09Z,0000-11-09T15:11:06Z,Pair (New),0000-11-09T15:11:04Z,Session,16,1,None,flower,NA,NA,NA,NA,FF
1191602,56.760000000000005,male,95,NA,0.8095238095238095,0000-11-09T15:11:18Z,0000-11-09T15:11:17Z,Pair (Repeated),0000-11-09T15:11:15Z,Session,16,1,None,balloon,NA,NA,NA,NA,C-NF
1191602,56.760000000000005,male,95,NA,0.8095238095238095,0000-11-09T15:11:43Z,0000-11-09T15:11:42Z,Pair (New),0000-11-09T15:11:40Z,Session,16,1,None,ladle,NA,NA,NA,NA,NF
1191602,56.760000000000005,male,95,NA,0.8095238095238095,0000-11-09T15:11:54Z,0000-11-09T15:11:53Z,Pair (New),0000-11-09T15:11:51Z,Session,16,1,None,tongs,NA,NA,NA,NA,NN
1191602,56.760000000000005,male,95,NA,0.8095238095238095,0000-11-09T15:12:03Z,0000-11-09T15:12:02Z,Pair (Repeated),0000-11-09T15:12:00Z,Session,16,1,None,cam,NA,NA,NA,NA,C-NN
1191602,56.760000000000005,male,95,NA,0.8095238095238095,0000-11-09T15:12:33Z,0000-11-09T15:12:32Z,Pair (Repeated),0000-11-09T15:12:31Z,Session,16,1,None,guitar,NA,NA,NA,NA,C-NF
1191602,56.760000000000005,male,95,NA,0.8095238095238095,0000-11-09T15:12:42Z,0000-11-09T15:12:42Z,Pair (Repeated),0000-11-09T15:12:41Z,Session,16,1,None,kettle,NA,NA,NA,NA,C-NN
1191602,56.760000000000005,male,95,NA,0.8095238095238095,0000-11-09T15:12:51Z,0000-11-09T15:12:50Z,Pair (New),0000-11-09T15:12:49Z,Session,16,1,None,fig,NA,NA,NA,NA,NF
1191602,56.760000000000005,male,95,NA,0.8095238095238095,0000-11-09T15:13:17Z,0000-11-09T15:13:16Z,Pair (New),0000-11-09T15:13:14Z,Session,16,1,None,sieve,NA,NA,NA,NA,NN
1191602,56.760000000000005,male,95,NA,0.8095238095238095,0000-11-09T15:13:25Z,0000-11-09T15:13:25Z,Pair (New),0000-11-09T15:13:23Z,Session,16,1,None,chestnut,NA,NA,NA,NA,NF
